ts,rg1,rg2,rg1tt,rg2tt,rg1tp,rg2tp,temp_bmx,press_bmx,temp_mcp,temp_sht,humidity_sht,si1145_vis,si1145_ir,si1145_uv,wind_spd,wind_dir,wind_gust,wind_gust_dir,heat_idx,wet_bulb_temp,wet_bulb_globe_temp
2026-04-18T00:00:05Z,0,0,8.2,0,1,0,17.5,847.8,17.6,17.8,96.2,260,252,0,0,179,0.2,0.2,18,17.4,13.7
2026-04-18T00:15:12Z,0,0,8.2,0,1,0,17.5,847.7,17.6,17.9,96.3,259,254,0,0.1,179,0.4,0.4,18,17.4,13.8
2026-04-18T00:30:19Z,0,0,8.2,0,1,0,17.5,847.6,17.6,17.9,96.4,261,253,0,0,179,0,0,18.1,17.4,13.8
2026-04-18T00:45:26Z,0,0,8.2,0,1,0,17.4,847.6,17.5,17.8,96.5,259,253,0,0,179,0,0,17.9,17.3,13.7
2026-04-18T01:00:49Z,0,0,8.2,0,1,0,17.3,847.7,17.4,17.6,96.5,258,253,0,0,179,0,0,17.8,17.2,13.5
2026-04-18T01:15:56Z,0,0,8.2,0,1,0,17,847.9,17.1,17.4,96.5,261,252,0,0.4,179,1.1,1.1,17.6,17,13.3
2026-04-18T01:31:03Z,0,0,10.2,0,1,0,16.6,847.9,16.7,17,96.6,260,252,0,0.5,172,1.5,1.5,17.2,16.6,12.9
2026-04-18T01:46:10Z,0.2,0,11,0,1,0,16.6,847.8,16.7,17,96.7,260,253,0,0.1,188,0.7,0.7,17.1,16.6,12.9
2026-04-18T02:01:17Z,0,0,11.6,0,1,0,16.6,847.7,16.7,17,96.8,260,253,0,0.8,160,2,2,17.1,16.6,12.9
2026-04-18T02:16:24Z,0,0,11.8,0,1,0,16.7,847.5,16.8,17,96.9,262,253,0,0.1,161,0.7,0.7,17.2,16.7,12.9
2026-04-18T02:31:48Z,0,0,12.4,0,1,0,16.8,847.5,16.9,17.2,97,261,254,0,0,161,0,0,17.3,16.8,13.1
2026-04-18T02:46:54Z,0,0,12.4,0,1,0,16.7,847.6,16.8,17.1,97,261,254,0,0,161,0,0,17.2,16.7,13
2026-04-18T03:02:01Z,0,0,12.4,0,1,0,16.6,847.7,16.8,17,97.1,260,253,0,0,161,0,0,17.2,16.7,13
2026-04-18T03:17:08Z,0,0,12.4,0,1,0,16.7,847.8,16.8,17,97.1,261,257,0,0,161,0,0,17.2,16.7,12.9
2026-04-18T03:32:15Z,0,0,12.4,0.1,1,0,16.8,848,16.9,17.2,97.2,266,327,0,0,161,0,0,17.4,16.9,13.1
2026-04-18T03:47:22Z,0,0,12.6,0.1,1,0,17,848.3,17.1,17.3,97.2,275,434,0,0,161,0,0,17.5,17,13.3
2026-04-18T04:02:28Z,0,0,12.6,0.2,1,0,17.1,848.6,17.2,17.5,97.3,291,559,0,0.1,161,0.5,0.5,17.6,17.1,13.4
2026-04-18T04:17:53Z,0,0,12.6,0.3,1,0,17.3,848.9,17.4,17.6,97.3,312,785,0,0,161,0,0,17.8,17.3,13.5
2026-04-18T04:32:59Z,0,0,12.6,0.4,1,0,17.6,849,17.7,18,97.3,338,1017,0,0.1,161,0.7,0.7,18.1,17.6,13.9
2026-04-18T04:48:05Z,0,0,12.6,0.7,1,0,17.6,849.1,17.7,18,97.3,381,1564,0,0,161,0.2,0.2,18.2,17.7,13.9
2026-04-18T05:03:12Z,0,0,12.6,0.6,1,0,17.7,849.2,17.8,18.1,97.1,363,1322,0,0,79,0,0,18.3,17.7,14
2026-04-18T05:18:19Z,0,0,12.6,0.6,1,0,17.9,849.4,18.1,18.4,96.8,369,1337,0,0.8,81,1.5,1.5,18.6,18,14.3
2026-04-18T05:33:26Z,0,0,12.6,0.7,1,0,17.9,849.9,18.1,18.5,95.6,393,1636,0,0.5,76,1.3,1.3,18.6,17.9,14.3
